id,visitors
Weixdorf,6
Schönborn,4
Langebrück,8
Klotzsche,12
Loschwitz,14
Pieschen,17
Neustadt,25
Schönfeld-Weißig,15
Cossebaude,6
Cotta,9
Altstadt,8
Plauen,14
Blasewitz,16
Prohlis,11
Leuben,11
Oberwartha,4
Mobschatz,5
Gompitz,5
Altfranken,3
